2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
MMM,MMM,MMM,MMM,MMM,MMM,MMM,MMM,MMM,MMM,UNH
AA,AA,AA,AXP,AXP,AXP,AXP,AXP,AXP,AXP,GS
AXP,AXP,AXP,T,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,HD
T,T,T,BA,BA,BA,BA,BA,BA,BA,MSFT
BAC,BAC,BAC,CAT,CAT,CAT,CAT,CAT,CAT,CAT,CRM
BA,BA,BA,CVX,CVX,CVX,CVX,CVX,CVX,CVX,MCD
CAT,CAT,CAT,CSCO,CSCO,CSCO,CSCO,CSCO,CSCO,CSCO,HON
CVX,CVX,CVX,KO,KO,KO,KO,KO,KO,KO,BA
CSCO,CSCO,CSCO,DD,DD,DD,DD,DD,DD,DOW,V
KO,KO,KO,XOM,XOM,XOM,XOM,XOM,XOM,XOM,AMGN
DD,DD,DD,GE,GE,GE,GE,GE,GS,GS,CAT
XOM,XOM,XOM,GS,GS,GS,GS,GS,HD,HD,MMM
GE,GE,GE,HD,HD,HD,HD,HD,INTC,INTC,AXP
HPE,HPE,HPE,INTC,INTC,INTC,INTC,INTC,IBM,IBM,DIS
HD,HD,HD,IBM,IBM,IBM,IBM,IBM,JNJ,JNJ,NKE
INTC,INTC,INTC,JNJ,JNJ,JNJ,JNJ,JNJ,JPM,JPM,JPM
IBM,IBM,IBM,JPM,JPM,JPM,JPM,JPM,MCD,MCD,JNJ
JNJ,JNJ,JNJ,MCD,MCD,MCD,MCD,MCD,MRK,MRK,TRV
JPM,JPM,JPM,MRK,MRK,MRK,MRK,MRK,MSFT,MSFT,AAPL
MCD,MCD,MCD,MSFT,MSFT,MSFT,MSFT,MSFT,NKE,NKE,WMT
MRK,MRK,MRK,NKE,NKE,NKE,NKE,NKE,PFE,PFE,PG
MSFT,MSFT,MSFT,PFE,PFE,PFE,PFE,PFE,PG,PG,IBM
PFE,PFE,PFE,PG,PG,PG,PG,PG,TRV,TRV,CVX
PG,PG,PG,TRV,TRV,TRV,TRV,TRV,UNH,UNH,MRK
TRV,TRV,TRV,UNH,UNH,UNH,UNH,UNH,UTX,UTX,DOW
UNH,UNH,UNH,UTX,UTX,UTX,UTX,UTX,VZ,VZ,CSCO
UTX,UTX,UTX,VZ,VZ,VZ,VZ,VZ,V,V,KO
VZ,VZ,VZ,V,V,V,V,V,WBA,WBA,VZ
WMT,WMT,WMT,WMT,WMT,WMT,WMT,WMT,WMT,WMT,INTC
DIS,DIS,DIS,DIS,DIS,DIS,DIS,DIS,DIS,DIS,WBA
,,,,,,,,,,KD
